batsman,total_runs,balls_faced,strike_rate,fours,sixes,player_type,bowler,balls_bowled,runs_conceded,wickets,economy,allrounder_score
WA Mota,56,75,74.6667,2,0,Anchor,WA Mota,73,98,75,8.0548,1.8702554338055133
Shahid Afridi,81,46,176.087,7,6,Aggressive,Shahid Afridi,181,237,185,7.8564,3.985181814410093
DJ Bravo,1262,999,126.3263,102,48,Anchor,DJ Bravo,2022,2815,2110,8.3531,49.17031607833236
MA Khote,24,22,109.0909,2,1,Anchor,MA Khote,30,52,30,10.4,0.7656923230384762
A Nehra,41,62,66.129,3,1,Anchor,A Nehra,1917,2537,1974,7.9405,33.471824864726806
Pankaj Singh,7,12,58.3333,0,0,Anchor,Pankaj Singh,301,472,311,9.4086,5.2793657365190985
S Sreesanth,34,55,61.8182,6,0,Anchor,S Sreesanth,903,1221,947,8.113,16.21520921184772
VRV Singh,4,3,133.3333,1,0,Anchor,VRV Singh,364,549,371,9.0495,6.250064366764916
R Vinay Kumar,304,271,112.1771,20,9,Anchor,R Vinay Kumar,2114,2976,2161,8.4465,39.49134219196568
AB Agarkar,179,154,116.2338,13,5,Anchor,AB Agarkar,784,1174,820,8.9847,15.684860171846758
M Kartik,113,108,104.6296,7,1,Anchor,M Kartik,1154,1418,1182,7.3726,21.0148034731865
Shoaib Malik,52,47,110.6383,5,0,Anchor,Shoaib Malik,52,87,58,10.0385,1.5419040145146687
MF Maharoof,177,123,143.9024,12,9,Aggressive,MF Maharoof,425,532,441,7.5106,9.322959470565335
VY Mahesh,15,27,55.5556,0,0,Anchor,VY Mahesh,346,511,359,8.8613,6.170260612571513
B Chipli,280,251,111.5538,28,7,Anchor,B Chipli,6,20,6,20.0,3.178644181406288
DW Steyn,166,158,105.0633,14,3,Anchor,DW Steyn,2071,2375,2159,6.8807,37.940735790834346
DNT Zoysa,11,9,122.2222,1,0,Anchor,DNT Zoysa,68,100,69,8.8235,1.2751644626015122
D Kalyankrishna,3,8,37.5,0,0,Anchor,D Kalyankrishna,48,88,50,11.0,0.8693816641670293
Sohail Tanvir,36,29,124.1379,3,1,Anchor,Sohail Tanvir,248,275,265,6.6532,4.828699073383408
BJ Hodge,1400,1118,125.2236,122,43,Anchor,BJ Hodge,234,310,238,7.9487,19.37264546373937
Umar Gul,39,19,205.2632,1,5,Aggressive,Umar Gul,141,198,153,8.4255,2.988144303960609
S Vidyut,145,109,133.0275,21,3,Anchor,S Vidyut,12,22,13,11.0,1.8115713347062947
JA Morkel,975,687,141.9214,61,55,Aggressive,JA Morkel,1736,2409,1807,8.326,40.9464981978777
LPC Silva,40,26,153.8462,5,1,Aggressive,LPC Silva,6,21,6,21.0,0.5401217539656549
DB Ravi Teja,375,317,118.2965,35,9,Anchor,DB Ravi Teja,18,28,18,9.3333,4.423795341052637
RR Raje,20,18,111.1111,1,1,Anchor,RR Raje,140,214,144,9.1714,2.628709254366568
Mohammad Asif,3,6,50.0,0,0,Anchor,Mohammad Asif,193,307,199,9.544,3.3618540629626135
GD McGrath,4,5,80.0,1,0,Anchor,GD McGrath,325,366,329,6.7569,5.5474882543527375
Joginder Sharma,36,30,120.0,1,2,Anchor,Joginder Sharma,263,421,272,9.6046,4.945795092118772
MS Gony,99,71,139.4366,6,8,Anchor,MS Gony,893,1317,925,8.8488,16.561792977063657
M Muralitharan,20,30,66.6667,1,0,Anchor,M Muralitharan,1530,1765,1581,6.9216,26.666849100468944
M Ntini,11,18,61.1111,2,0,Anchor,M Ntini,212,257,213,7.2736,3.6839968480146936
