batsman,total_runs,balls_faced,strike_rate,fours,sixes,player_type,bowler,balls_bowled,runs_conceded,wickets,economy,allrounder_score
PV Tambe,18,39,46.1538,1,0,Anchor,PV Tambe,660,866,674,7.8727,11.472562986005855
JDS Neesham,42,46,91.3043,3,1,Anchor,JDS Neesham,54,96,57,10.6667,1.4152375773614954
MA Starc,96,98,97.9592,10,0,Anchor,MA Starc,583,725,612,7.4614,11.292946608982277
Shivam Sharma,5,3,166.6667,1,0,Aggressive,Shivam Sharma,114,165,114,8.6842,1.9619615223571154
BE Hendricks,1,3,33.3333,0,0,Anchor,BE Hendricks,151,239,157,9.4967,2.637290263655097
S Gopal,14,27,51.8519,1,0,Anchor,S Gopal,115,155,116,8.087,2.0943621187391
M de Lange,1,2,50.0,0,0,Anchor,M de Lange,110,171,116,9.3273,1.9514421539193991
JO Holder,38,31,122.5806,4,2,Anchor,JO Holder,219,313,228,8.5753,4.231750661248972
Karanveer Singh,12,17,70.5882,1,0,Anchor,Karanveer Singh,204,323,213,9.5,3.6949906914623627
SA Abbott,15,13,115.3846,1,1,Anchor,SA Abbott,30,57,32,11.4,0.7002037373624133
J Suchith,48,32,150.0,4,2,Aggressive,J Suchith,246,369,253,9.0,4.759889162637675
RG More,2,2,100.0,0,0,Anchor,RG More,35,63,37,10.8,0.6409237859251145
D Wiese,127,90,141.1111,12,4,Aggressive,D Wiese,279,409,289,8.7957,6.230610891356845
DJ Muthuswami,1,3,33.3333,0,0,Anchor,DJ Muthuswami,84,108,84,7.7143,1.4161460682720253
C Munro,30,30,100.0,3,0,Anchor,C Munro,12,15,12,7.5,0.5305513355478443
P Sahu,19,13,146.1538,1,1,Aggressive,P Sahu,105,152,107,8.6857,1.9987793118891226
KJ Abbott,13,8,162.5,0,1,Aggressive,KJ Abbott,97,182,102,11.2577,1.8491762378207048
M Ashwin,0,1,0.0,0,0,Anchor,M Ashwin,171,245,176,8.5965,2.9441284710605555
J Yadav,6,10,60.0,0,0,Anchor,J Yadav,181,197,183,6.5304,3.127187550481934
BB Sran,4,4,100.0,0,0,Anchor,BB Sran,328,485,345,8.872,5.815136297176425
S Kaushik,0,1,0.0,0,0,Anchor,S Kaushik,205,304,210,8.8976,3.51288056206089
